vulnerability_id,vulnerability_type,cwe,start_line,end_line,start_column,end_column,triage_true_positive,ground_truth_vulnerability,filename,category,sink,source
67a56db6b61b6dd44db46ea6,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46ea7,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46ea8,Sensitive Cookie with Improper SameSite Attribute,CWE-352,42,42,9,40,FALSE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,None,None
67a56db6b61b6dd44db46ea9,Path Traversal,CWE-22,71,71,19,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,pathtraver,FileInputStream-F.code,RequestGetCookies.code
67a56db6b61b6dd44db46eaa,Path Traversal,CWE-22,71,71,19,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,pathtraver,FileInputStream-F.code,RequestGetCookies.code
67a56db6b61b6dd44db46eab,Path Traversal,CWE-22,71,71,47,73,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,pathtraver,FileInputStream-F.code,RequestGetCookies.code
67a56db6b61b6dd44db46eac,Path Traversal,CWE-22,71,71,47,73,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,pathtraver,FileInputStream-F.code,RequestGetCookies.code
67a56db6b61b6dd44db46ead,Cross-Site Scripting,CWE-79,85,85,13,92,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,None,None
67a56db6b61b6dd44db46eae,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46eaf,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46eb0,Sensitive Cookie with Improper SameSite Attribute,CWE-352,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,None,None
67a56db6b61b6dd44db46eb1,Path Traversal,CWE-22,72,72,13,64,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb2,Path Traversal,CWE-22,72,72,13,64,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb3,Path Traversal,CWE-22,72,72,48,56,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb4,Path Traversal,CWE-22,72,72,48,56,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb5,Cross-Site Scripting,CWE-79,79,79,13,93,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,None,None
67a56db6b61b6dd44db46eb6,Cross-Site Scripting,CWE-79,84,84,21,32,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,None,None
67a56db6b61b6dd44db46eb7,Path Traversal,CWE-22,85,85,21,31,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb8,Path Traversal,CWE-22,85,85,21,31,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,FileOutputStream-S-b.code,RequestGetCookies.code
67a56db6b61b6dd44db46eb9,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46eba,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46ebb,Sensitive Cookie with Improper SameSite Attribute,CWE-352,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,None,None
67a56db6b61b6dd44db46ebc,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46ebd,Missing HttpOnly Flag,CWE-1004,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None
67a56db6b61b6dd44db46ebe,Sensitive Cookie with Improper SameSite Attribute,CWE-352,42,42,9,40,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,None,None
67a56db6b61b6dd44db46ebf,Trust Boundary Violation,CWE-501,67,67,9,58,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,trustbound,SessionSetAttribute-S^-O.code,RequestGetCookies.code
