vulnerability_id,vulnerability_type,cwe,start_line,end_line,start_column,end_column,triage_true_positive,ground_truth_vulnerability,filename,category,data_flow,sink,source
67a54cf2c7ab579e9eb39a17,Insecure Cookie,CWE-614,95,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00087.java,securecookie,BASE64.code,ResponseAddCookie-Nonsecure.code,RequestGetCookies.code
67a54cf2c7ab579e9eb39a18,Insecure Cookie,CWE-614,84,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00169.java,securecookie,SafeArrayList.code,ResponseAddCookie-Nonsecure.code,RequestGetHeader.code
67a54cf2c7ab579e9eb39a19,Insecure Cookie,CWE-614,95,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00170.java,securecookie,SafeLongChain.code,ResponseAddCookie-Nonsecure.code,RequestGetHeader.code
67a54cf2c7ab579e9eb39a1a,Insecure Cookie,CWE-614,89,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00241.java,securecookie,SafeIfTrue.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaderNames.code
67a54cf2c7ab579e9eb39a1b,Insecure Cookie,CWE-614,83,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00300.java,securecookie,BASE64.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaders.code
67a54cf2c7ab579e9eb39a1c,Insecure Cookie,CWE-614,68,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00348.java,securecookie,AssignInputStream.code,ResponseAddCookie-Nonsecure.code,RequestGetInputStream.code
67a54cf2c7ab579e9eb39a1d,Insecure Cookie,CWE-614,74,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00403.java,securecookie,SafeQuestionmarkConditional.code,ResponseAddCookie-Nonsecure.code,RequestGetParameter.code
67a54cf2c7ab579e9eb39a1e,Insecure Cookie,CWE-614,77,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00491.java,securecookie,StringBuilderReplace.code,ResponseAddCookie-Nonsecure.code,RequestGetParameterMap.code
67a54cf2c7ab579e9eb39a1f,Insecure Cookie,CWE-614,83,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00565.java,securecookie,ESAPIEncodeForHtml-S.code,ResponseAddCookie-Nonsecure.code,RequestGetParameterNames.code
67a54cf2c7ab579e9eb39a20,Insecure Cookie,CWE-614,85,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00566.java,securecookie,Reflection.code,ResponseAddCookie-Nonsecure.code,RequestGetParameterNames.code
67a54cf2c7ab579e9eb39a21,Insecure Cookie,CWE-614,76,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00736.java,securecookie,SafeQuestionmarkConditional.code,ResponseAddCookie-Nonsecure.code,RequestGetParameterValues.code
67a54cf2c7ab579e9eb39a22,Insecure Cookie,CWE-614,93,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00820.java,securecookie,Assign.code,ResponseAddCookie-Nonsecure.code,RequestGetQueryString.code
67a54cf2c7ab579e9eb39a23,Insecure Cookie,CWE-614,94,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00821.java,securecookie,Split.code,ResponseAddCookie-Nonsecure.code,RequestGetQueryString.code
67a54cf2c7ab579e9eb39a24,Insecure Cookie,CWE-614,89,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00903.java,securecookie,Switch.code,ResponseAddCookie-Nonsecure.code,StaticGetParameterSeparate.code
67a54cf2c7ab579e9eb39a25,Insecure Cookie,CWE-614,88,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00977.java,securecookie,QuestionmarkConditional.code,ResponseAddCookie-Nonsecure.code,RequestGetCookies.code
67a54cf2c7ab579e9eb39a26,Insecure Cookie,CWE-614,74,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01061.java,securecookie,StringBuilderReplace.code,ResponseAddCookie-Nonsecure.code,RequestGetHeader.code
67a54cf2c7ab579e9eb39a27,Insecure Cookie,CWE-614,84,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01134.java,securecookie,HashMap.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaderNames.code
67a54cf2c7ab579e9eb39a28,Insecure Cookie,CWE-614,76,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01185.java,securecookie,ArrayList.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaders.code
67a54cf2c7ab579e9eb39a29,Insecure Cookie,CWE-614,76,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01186.java,securecookie,SpringHtmlEscape-S.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaders.code
67a54cf2c7ab579e9eb39a2a,Insecure Cookie,CWE-614,76,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01187.java,securecookie,StringEscapeUtilsEscapeHtml-S.code,ResponseAddCookie-Nonsecure.code,RequestGetHeaders.code
67a54cf2c7ab579e9eb39a2b,Insecure Cookie,CWE-614,69,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01280.java,securecookie,SafeIfTrue.code,ResponseAddCookie-Nonsecure.code,RequestGetParameter.code
67a54cf2c7ab579e9eb39a2c,Insecure Cookie,CWE-614,69,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01281.java,securecookie,Split.code,ResponseAddCookie-Nonsecure.code,RequestGetParameter.code
67a54cf2c7ab579e9eb39a2d,Insecure Cookie,CWE-614,69,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01282.java,securecookie,Substring.code,ResponseAddCookie-Nonsecure.code,RequestGetParameter.code
67a54cf2c7ab579e9eb39a2e,Insecure Cookie,CWE-614,69,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01283.java,securecookie,UnsafeIfTrue.code,ResponseAddCookie-Nonsecure.code,RequestGetParameter.code
67a54cf2c7ab579e9eb39a2f,Insecure Cookie,CWE-614,71,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01521.java,securecookie,Split.code,ResponseAddCookie-Nonsecure.code,RequestGetParameterSeparate.code
67a54cf2c7ab579e9eb39a30,Insecure Cookie,CWE-614,93,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01682.java,securecookie,Assign.code,ResponseAddCookie-Nonsecure.code,RequestGetQueryString.code
67a54cf2c7ab579e9eb39a31,Insecure Cookie,CWE-614,93,,9,35,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01683.java,securecookie,Reflection.code,ResponseAddCookie-Nonsecure.code,RequestGetQueryString.code
